,опыт работы,регион,пол,возраст,образование,вуз,язык,занятость,желаемая з/п,Последнее место работы
790,3 года,Новокузнецк,Мужчина,25 лет,Среднее специальное образование,Кузнецкий индустриальный техникум,Русский — Родной Английский — B1 — Средний,"Занятость: частичная занятость, проектная работа",130 000 $ на руки,Август 2022 — по настоящее время1 год 10 месяцев
791,6 лет,Москва,Мужчина,26 лет,Высшее образование (Бакалавр),School21,Русский — Родной Английский — B1 — Средний Немецкий — A1 — Начальный,Занятость: полная занятость,150 000 ₽ на руки,Июнь 2023 — по настоящее время1 год
792,14 лет,Симферополь,Мужчина,37 лет,Высшее образование,"Московский государственный технический университет им. Н.Э. Баумана, Москва",Русский — Родной,"Занятость: частичная занятость, проектная работа",90 000 ₽ на руки,Январь 2015 — по настоящее время9 лет 5 месяцев
793,15 лет,Ростов-на-Дону,Мужчина,40 лет,Высшее образование,ЮФУ(РГУ),Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",80 000 ₽ на руки,Октябрь 2018 — по настоящее время5 лет 8 месяцев
794,8 лет,Новосибирск,Мужчина,29 лет,Неоконченное высшее образование,НГУ,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",200 000 ₽ на руки,Декабрь 2020 — по настоящее время3 года 6 месяцев
795,14 лет,Алушта,Мужчина,35 лет,Высшее образование,"Севастопольский национальный технический университет, Севастополь",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",4 000 $ на руки,Сентябрь 2014 — по настоящее время9 лет 9 месяцев
796,7 лет,Калуга,Мужчина,26 лет,Неоконченное высшее образование,"Филиал Московского государственного технического университета им. Н.Э. Баумана, Калуга",Русский — Родной,"Занятость: частичная занятость, проектная работа",150 000 ₽ на руки,Октябрь 2023 — по настоящее время8 месяцев
797,10 лет,Санкт-Петербург,Мужчина,35 лет,Высшее образование,"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",170 000 ₽ на руки,Август 2018 — по настоящее время5 лет 10 месяцев
798,3 года,Кумертау,Мужчина,39 лет,Высшее образование,"Уфимский государственный авиационный технический университет, Уфа",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,70 000 ₽ на руки,Май 2021 — по настоящее время3 года 1 месяц
799,,Уфа,Мужчина,32 года,Среднее специальное образование,Башкирского экономико-юридического техникума,Русский — Родной,Занятость: полная занятость,20 000 ₽ на руки,2013
800,,Москва,Мужчина,35 лет,Образование,,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,
801,17 лет,Москва,Мужчина,35 лет,Среднее специальное образование,ГОУ СПО Московский Приборостроительный техникум,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Январь 2007 — по настоящее время17 лет 5 месяцев
802,10 лет,Чебоксары,Мужчина,67 лет,Высшее образование,"Чувашский государственный университет им. И.Н. Ульянова, Чебоксары",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,70 000 ₽ на руки,Январь 2004 — Июнь 201410 лет 6 месяцев
803,2 года,Москва,Мужчина,32 года,Высшее образование,"Московский институт электронной техники, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: проектная работа,60 000 ₽ на руки,Май 2011 — Октябрь 20132 года 6 месяцев
804,11 лет,Санкт-Петербург,Мужчина,35 лет,Высшее образование,"Северо-Кавказский горно-металлургический институт (Государственный технологический университет), Владикавказ",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,25 000 ₽ на руки,Октябрь 2016 — по настоящее время7 лет 8 месяцев
805,,Бердск,Мужчина,30 лет,Высшее образование,"Новосибирский государственный технический университет, Новосибирск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,2017
806,4 года,Москва,Мужчина,,Среднее специальное образование,Московский приборостроительный техникум,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,50 000 ₽ на руки,Февраль 2020 — по настоящее время4 года 4 месяца
807,5 лет,Омск,Мужчина,34 года,Высшее образование,"Омский государственный технический университет, Омск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,40 000 ₽ на руки,Июль 2011 — Ноябрь 20165 лет 5 месяцев
808,17 лет,Москва,Мужчина,,Неоконченное высшее образование,"Государственный университет управления, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,50 000 ₽ на руки,Февраль 2007 — по настоящее время17 лет 4 месяца
809,,Москва,Мужчина,28 лет,Неоконченное высшее образование,"Московский физико-технический институт (Государственный университет), Жуковский",Русский — Родной Английский — C1 — Продвинутый,Занятость: проектная работа,3 000 ₽ на руки,2020
810,,Волгоград,Мужчина,24 года,Образование,,Русский — Родной,"Занятость: полная занятость, частичная занятость",15 000 ₽ на руки,
811,6 месяцев,Новосибирск,Мужчина,32 года,Среднее специальное образование,Новосибирский техникум электроники и вычислительной техники,Русский — Родной,Занятость: полная занятость,17 000 ₽ на руки,Октябрь 2010 — Март 20116 месяцев
812,9 лет,Москва,Мужчина,46 лет,Высшее образование,Московский государственный университет печати,Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,Февраль 2008 — Июль 20102 года 6 месяцев
813,13 лет,Москва,Женщина,36 лет,Высшее образование,МПГУ -- Московский педагогический государственный университет; МГПИ им. Ленина; МВЖК; 2-й МГУ,Русский — Родной,"Занятость: полная занятость, частичная занятость, стажировка",15 000 ₽ на руки,Январь 2017 — по настоящее время7 лет 5 месяцев
814,,Усть-Ордынский,Мужчина,42 года,Образование,,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,15 ₽ на руки,
815,7 лет,Курган,Мужчина,29 лет,Высшее образование,Академия труда и социальных отношений,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,220 000 ₽ на руки,Июль 2022 — по настоящее время1 год 11 месяцев
816,26 лет,Москва,Мужчина,47 лет,Высшее образование,"МИФИ, г. Москва",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,125 000 ₽ на руки,Декабрь 2003 — по настоящее время20 лет 6 месяцев
817,17 лет,Анапа,Мужчина,39 лет,Высшее образование,"Современная гуманитарная академия, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,100 000 ₽ на руки,Июнь 2019 — по настоящее время5 лет
818,3 года,Волгоград,Мужчина,23 года,Высшее образование (Бакалавр),"Волгоградский государственный технический университет, Волгоград",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,250 000 ₽ на руки,Октябрь 2021 — по настоящее время2 года 8 месяцев
819,25 лет,Великий Новгород,Мужчина,48 лет,Высшее образование,"Новгородский государственный университет им. Я. Мудрого, Великий Новгород",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,70 000 ₽ на руки,Август 2017 — по настоящее время6 лет 10 месяцев
820,25 лет,Вельск,Мужчина,56 лет,Высшее образование,"Северный (Арктический) федеральный университет им. М.В. Ломоносова, Архангельск",Русский — Родной,"Занятость: полная занятость, частичная занятость, проектная работа",90 000 ₽ на руки,Январь 1999 — по настоящее время25 лет 5 месяцев
821,8 лет,Кострома,Мужчина,39 лет,Неоконченное высшее образование,КГСХА,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",40 000 ₽ на руки,Сентябрь 2014 — Август 20151 год
822,3 года,Белгород,Мужчина,22 года,Среднее специальное образование,Белгородский Педагогический Колледж,Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость",150 000 ₽ на руки,Июль 2022 — Апрель 202310 месяцев
823,6 лет,Орел,Мужчина,26 лет,Образование,,Русский — Родной Английский — A2 — Элементарный,"Занятость: полная занятость, частичная занятость, проектная работа",1 500 $ на руки,Июнь 2019 — по настоящее время5 лет
824,,Москва,Мужчина,31 год,Высшее образование (Бакалавр),"Северо-Кавказский горно-металлургический институт (Государственный технологический университет), Владикавказ",Русский — Родной Английский — A1 — Начальный Армянский — C2 — В совершенстве,Занятость: полная занятость,40 000 ₽ на руки,2015
825,6 лет,Пермь,Женщина,28 лет,Высшее образование,"Уральский государственный университет путей сообщения, Екатеринбург",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",70 000 ₽ на руки,Июнь 2018 — по настоящее время6 лет
826,,Москва,Мужчина,32 года,Среднее образование,Школа №2,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,2009
827,,Севастополь,Мужчина,24 года,Среднее специальное образование,Севастопольский Торгово-Экономический Техникум,Русский — Родной Английский — A1 — Начальный Украинский — C2 — В совершенстве,Занятость: частичная занятость,50 000 ₽ на руки,2019
828,,Зеленодольск (Республика Татарстан),Женщина,43 года,Образование,,Русский — Родной,Занятость: полная занятость,20 000 ₽ на руки,
829,,Асино,Мужчина,25 лет,Образование,,Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,
830,16 лет,Ростов-на-Дону,Мужчина,,Высшее образование,"Южно-Российский государственный технический университет (Новочеркасский политехнический институт), Ростов-на-Дону",Русский — Родной Английский — B1 — Средний Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость",250 000 ₽ на руки,Октябрь 2007 — по настоящее время16 лет 8 месяцев
831,4 месяца,Стерлитамак,Мужчина,31 год,Среднее специальное образование,Башкирский экономико юридический техникум,Татарский — Родной Английский — A1 — Начальный Русский — C2 — В совершенстве,Занятость: полная занятость,20 000 ₽ на руки,Февраль 2017 — Май 20174 месяца
832,22 года,Санкт-Петербург,Мужчина,47 лет,Высшее образование,"Санкт-Петербургский государственный университет аэрокосмического приборостроения, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость",90 000 ₽ на руки,Август 2006 — по настоящее время17 лет 10 месяцев
833,2 года,Липецк,Мужчина,21 год,Среднее специальное образование,"Воронежский институт высоких технологий, Воронеж",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,80 000 ₽ на руки,Май 2022 — по настоящее время2 года 1 месяц
834,5 лет,Москва,Мужчина,34 года,Высшее образование,"Академия стандартизации, метрологии и сертификации, Москва",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,60 000 ₽ на руки,Ноябрь 2018 — по настоящее время5 лет 7 месяцев
835,6 лет,Донецк,Мужчина,23 года,Высшее образование,"Донецкий национальный технический университет, Донецк (Украина)",Русский — Родной Азербайджанский — C1 — Продвинутый Английский — C1 — Продвинутый Украинский — C2 — В совершенстве Французский — A1 — Начальный,"Занятость: частичная занятость, проектная работа",20 000 ₴ на руки,Ноябрь 2017 — по настоящее время6 лет 7 месяцев
836,5 лет,Сочи,Мужчина,24 года,Среднее специальное образование,СКСиПТ,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,40 000 ₽ на руки,Май 2019 — по настоящее время5 лет 1 месяц
837,2 месяца,Щелково,Мужчина,24 года,Среднее специальное образование,Щелковский колледж,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",300 $ на руки,Июнь 2018 — Июль 20182 месяца
838,19 лет,Астрахань,Мужчина,67 лет,Высшее образование,"Научно-учебные центры в Минске, Киеве, Ташкенте, Москве, Нижнем Новгороде",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,20 000 ₽ на руки,Ноябрь 2015 — Август 201610 месяцев
839,,Москва,Мужчина,67 лет,Высшее образование,Московский Физико-технический институт,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,40 000 ₽ на руки,1986
840,,Санкт-Петербург,Мужчина,27 лет,Среднее специальное образование,Технический Колледж Управления и Коммерции,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,2016
841,20 лет,Самара,Мужчина,43 года,Высшее образование (Бакалавр),"ФГБОУ ВО ""Самарский государственный технический университет"" г. Самара",Русский — Родной Английский — A1 — Начальный,Занятость: частичная занятость,30 000 ₽ на руки,Апрель 2008 — по настоящее время16 лет 2 месяца
842,4 месяца,Хабаровск,Мужчина,29 лет,Высшее образование,"Дальневосточный федеральный университет, Владивосток",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,Май 2016 — Июнь 20162 месяца
843,1 год,Иркутск,Мужчина,30 лет,Высшее образование,ИрГАУ,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,70 000 ₽ на руки,Март 2017 — Июнь 20181 год 4 месяца
844,25 лет,Новотитаровская,Мужчина,44 года,Высшее образование,"Кубанский государственный технологический университет, Краснодар",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,70 000 ₽ на руки,Март 1999 — по настоящее время25 лет 3 месяца
845,24 года,Барнаул,Мужчина,49 лет,Высшее образование,АГТУ им. Ползунова,Английский — A1 — Начальный Русский — C2 — В совершенстве,Занятость: полная занятость,20 000 ₽ на руки,Февраль 2006 — по настоящее время18 лет 4 месяца
846,3 года,Ставрополь,Мужчина,34 года,Высшее образование,Северо-Кавказский государственный технический университет,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Май 2014 — Март 20183 года 11 месяцев
847,16 лет,Москва,Женщина,37 лет,Высшее образование,"Московский государственный технологический университет ""Станкин"", Москва",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,100 000 ₽ на руки,Сентябрь 2008 — по настоящее время15 лет 9 месяцев
848,3 года,Ставрополь,Мужчина,31 год,Среднее специальное образование,Государственное бюджетное образовательное учереждение среднего профессионального образования Нефтекумский региональный политехнический колледж,Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Сентябрь 2014 — Май 20183 года 9 месяцев
849,3 года,Севастополь,Мужчина,25 лет,Среднее специальное образование,Севастопольский торгово экономический техникум,Русский — Родной,Занятость: полная занятость,60 000 ₽ на руки,Июнь 2016 — Март 20203 года 10 месяцев
850,11 лет,Екатеринбург,Мужчина,34 года,Высшее образование,"Уральский государственный университет путей сообщения, Екатеринбург",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Февраль 2016 — по настоящее время8 лет 4 месяца
851,9 years,Nalchik,Male,34 years,Higher education (master),Tech Academy,Azerbaijani — Native English — C2 — Proficiency Russian — C2 — Proficiency Turkish — C2 — Proficiency,"Employment: full time, part time",40 000 ₽ in hand,July 2023 — currently11 months
852,8 лет,Москва,Мужчина,33 года,Образование,,Русский — Родной,Занятость: полная занятость,60 000 ₽ на руки,Январь 2016 — по настоящее время8 лет 5 месяцев
853,18 лет,Киров (Кировская область),Мужчина,39 лет,Неоконченное высшее образование,Кировский Авиационный техникум,Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",250 000 ₽ на руки,Апрель 2016 — по настоящее время8 лет 2 месяца
854,,Москва,Женщина,29 лет,Среднее специальное образование,"Московский автомобильно-дорожный государственный технический университет, Москва",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,2017
855,,Новосибирск,Мужчина,34 года,Высшее образование,"Донецкий национальный технический университет, Донецк (Украина)",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,2013
856,1 месяц,Москва,Мужчина,39 лет,Высшее образование (Бакалавр),"бакалавр техники и технологии по направлению ""Автоматизация и управление""",Русский — Родной Английский — C2 — В совершенстве Немецкий — C2 — В совершенстве,Занятость: полная занятость,500 $ на руки,Сентябрь 2006 — Сентябрь 20061 месяц
857,9 лет,Калининград,Мужчина,40 лет,Среднее специальное образование,"Филиал Дальневосточного федерального университета, Большой Камень",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа",150 000 ₽ на руки,Апрель 2024 — по настоящее время2 месяца
858,,Георгиевск,Мужчина,21 год,Среднее специальное образование,ГБПОУ ГК,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, стажировка",35 000 ₽ на руки,2022
859,11 месяцев,Москва,Мужчина,31 год,Высшее образование (Бакалавр),"Московский государственный университет им. М.В. Ломоносова, Москва",Русский — Родной Английский — B1 — Средний Армянский — A1 — Начальный,Занятость: полная занятость,1 000 000 ₽ на руки,Июнь 2016 — Апрель 201711 месяцев
860,,Саратов,Мужчина,31 год,Среднее специальное образование,вгксмгс,Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,25 000 ₽ на руки,2011
861,,Vladikavkaz,Male,25 years,Secondary education,МБОУ СОШ №48,Russian — Native English — C1 — Advanced,"Employment: full time, part time, project work, volunteering",50 000 ₽ in hand,2017
862,3 года,Москва,Мужчина,38 лет,Высшее образование,"Московский инженерно-физический институт, Москва",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,20 000 ₽ на руки,Октябрь 2012 — Май 20141 год 8 месяцев
863,,Москва,Мужчина,29 лет,Высшее образование (Бакалавр),ГОУ ВО Луганский государственный университет имени Владимира Даля,Русский — Родной Английский — A1 — Начальный Украинский — B1 — Средний,"Занятость: полная занятость, частичная занятость, проектная работа, стажировка",50 000 ₽ на руки,2022
864,1 год,Москва,Мужчина,37 лет,Образование,,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,80 000 ₽ на руки,Май 2020 — Июнь 20211 год 2 месяца
865,5 years,Rostov-na-Donu,Male,29 years,Higher education (bachelor),"Don State Technical University, Rostov-na-Donu",Arabic — Native English — C2 — Proficiency Russian — B2 — Upper Intermediate,"Employment: full time, project work, work placement",2 000 $ in hand,January 2019 — currently5 years 5 months
866,11 лет,Москва,Мужчина,35 лет,Высшее образование (Магистр),"Московский физико-технический институт (Государственный университет), Долгопрудный",Русский — Родной Английский — C2 — В совершенстве,Занятость: полная занятость,500 000 ₽ на руки,Июнь 2020 — по настоящее время4 года
867,10 лет,Озерск (Челябинская область),Мужчина,34 года,Высшее образование,"Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,"Занятость: частичная занятость, проектная работа",60 000 ₽ на руки,Январь 2022 — по настоящее время2 года 5 месяцев
868,2 года,Москва,Мужчина,39 лет,Высшее образование,"Московский финансово-промышленный университет ""Синергия"", Москва",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,Занятость: полная занятость,35 000 ₽ на руки,Ноябрь 2010 — Июнь 20132 года 8 месяцев
869,,Ульяновск,Женщина,28 лет,Высшее образование (Бакалавр),"Ульяновский государственный университет, Ульяновск",Русский — Родной Английский — A1 — Начальный,Занятость: полная занятость,15 000 ₽ на руки,2017
870,1 год,Реутов,Мужчина,29 лет,Неоконченное высшее образование,"Московский государственный технический университет им. Н.Э. Баумана, Москва",Русский — Родной Английский — C1 — Продвинутый Армянский — C2 — В совершенстве,"Занятость: полная занятость, частичная занятость",30 000 ₽ на руки,Апрель 2013 — Май 20141 год 2 месяца
871,2 года,Киров (Кировская область),Мужчина,39 лет,Высшее образование,МФЮА Кировский филиал,Английский — A1 — Начальный,Занятость: полная занятость,10 000 ₽ на руки,Май 2011 — Январь 20142 года 9 месяцев
872,1 год,Санкт-Петербург,Мужчина,40 лет,Высшее образование,Санкт-Петербургский Государственный Университет Телекоммуникаций им. М.А.Бонч-Бруевича,Английский — A1 — Начальный Русский — B2 — Средне-продвинутый,Занятость: полная занятость,25 000 ₽ на руки,Октябрь 2007 — Ноябрь 20081 год 2 месяца
873,,Жуковский,Мужчина,39 лет,Неоконченное высшее образование,УГАТУ (Уфимский государственный авиационный технический университет),Русский — Родной,Занятость: полная занятость,35 000 ₽ на руки,2013
874,12 лет,Санкт-Петербург,Женщина,38 лет,Высшее образование,"Санкт-Петербургский государственный университет, Санкт-Петербург",Русский — Родной Английский — B2 — Средне-продвинутый Французский — A1 — Начальный,Занятость: полная занятость,30 000 ₽ на руки,Январь 2013 — по настоящее время11 лет 5 месяцев
875,9 лет,Иркутск,Мужчина,36 лет,Среднее образование,МОУ СОШ №30,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, проектная работа",60 000 ₽ на руки,Август 2021 — Март 20231 год 8 месяцев
876,7 лет,Москва,Мужчина,26 лет,Высшее образование,MitX,Русский — Родной Английский — C2 — В совершенстве Турецкий — C2 — В совершенстве,Занятость: полная занятость,1 000 $ на руки,Январь 2017 — по настоящее время7 лет 5 месяцев
877,20 лет,Москва,Мужчина,44 года,Высшее образование,"Сумской государственный университет, Сумы",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: частичная занятость,60 000 ₽ на руки,Декабрь 2012 — по настоящее время11 лет 6 месяцев
878,10 месяцев,Краснодар,Мужчина,32 года,Среднее специальное образование,Кубанский государственный политехнический уничевститет,Русский — Родной,Занятость: полная занятость,12 000 ₽ на руки,Март 2011 — Декабрь 201110 месяцев
879,6 лет,Мурманск,Мужчина,24 года,Среднее специальное образование,ММРК,Русский — Родной,Занятость: частичная занятость,17 000 ₽ на руки,Март 2018 — по настоящее время6 лет 3 месяца
880,6 лет,Москва,Мужчина,26 лет,Образование,,Русский — Родной Английский — A2 — Элементарный Армянский — C1 — Продвинутый,Занятость: полная занятость,45 000 ₽ на руки,Март 2020 — Февраль 20222 года
881,17 лет,Москва,Женщина,38 лет,Высшее образование,Ковровская Государственная Технологическая Академия им. В.А. Дегтярева,Английский — C2 — В совершенстве,Занятость: полная занятость,30 000 ₽ на руки,Октябрь 2006 — по настоящее время17 лет 8 месяцев
882,3 года,Москва,Мужчина,35 лет,Среднее специальное образование,Политехнический техникум №2,Русский — Родной Английский — B1 — Средний Испанский — C1 — Продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка",200 000 ₽ на руки,Сентябрь 2021 — по настоящее время2 года 9 месяцев
883,,Тула,Мужчина,34 года,Высшее образование,"Российский государственный гуманитарный университет, Москва",Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость, стажировка",20 000 ₽ на руки,2013
884,,Ярославль,Мужчина,25 лет,Образование,,Русский — Родной,Занятость: проектная работа,40 000 ₽ на руки,
885,,Братск,Женщина,27 лет,Среднее специальное образование,Целлюзно-бумажный колледж,Русский — Родной Английский — A1 — Начальный,"Занятость: полная занятость, частичная занятость",30 000 ₽ на руки,2017
886,,Симферополь,Мужчина,23 года,Образование,,Русский — Родной Английский — A1 — Начальный Украинский — A1 — Начальный,"Занятость: полная занятость, проектная работа",20 000 ₽ на руки,
887,30 лет,Донецк,Женщина,52 года,Высшее образование,Донецкий политехнический институт,Русский — Родной Английский — A1 — Начальный Украинский — C1 — Продвинутый,Занятость: проектная работа,40 000 ₽ на руки,Сентябрь 1993 — по настоящее время30 лет 9 месяцев
888,,Новосибирск,Мужчина,27 лет,Среднее образование,НКТИ СИБгути,Русский — Родной,Занятость: полная занятость,20 000 ₽ на руки,2018
889,,Мурманск,Мужчина,20 лет,Образование,,Русский — Родной,Занятость: полная занятость,20 000 ₽ на руки,
890,7 месяцев,Москва,Мужчина,31 год,Среднее специальное образование,МРТК им. А.А.Расплетина,Русский — Родной,Занятость: полная занятость,15 000 ₽ на руки,Июль 2009 — Январь 20107 месяцев
891,36 лет,Санкт-Петербург,Женщина,58 лет,Высшее образование,"Санкт-Петербургский государственный университет, Санкт-Петербург",Русский — Родной Английский — B1 — Средний Немецкий — B1 — Средний,"Занятость: частичная занятость, проектная работа",60 000 ₽ на руки,Сентябрь 1987 — по настоящее время36 лет 9 месяцев
892,1 год,Адлер,Женщина,24 года,Неоконченное высшее образование,"Гжельский государственный художественно-промышленный институт, Москва",Русский — Родной Английский — B1 — Средний,"Занятость: полная занятость, частичная занятость",40 000 ₽ на руки,Октябрь 2021 — Апрель 20227 месяцев
893,4 года,Оренбург,Мужчина,27 лет,Высшее образование (Бакалавр),"Оренбургский государственный университет, Оренбург",Русский — Родной,Занятость: полная занятость,25 000 ₽ на руки,Сентябрь 2019 — по настоящее время4 года 9 месяцев
894,4 месяца,Иркутск,Женщина,24 года,Неоконченное высшее образование,"Иркутский государственный университет, Иркутск",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: стажировка,30 000 ₽ на руки,Март 2020 — Июнь 20204 месяца
